Factor	Sugerida	Alcance
Compatibilidad	3	Externo
Personalización	3	Externo
Prueba	3	Externo
Fiabilidad	3	Externo
Reusabilidad	2	Externo
Usabilidad	3	Externo
Mantenibilidad	3	Externo
Portabilidad	2	Externo
Documentación	2	Externo
Formación	3	Interno
Tiempo de adopción	2	Interno
Casos de estudio de adopción FLOSS	2	Externo
Centralidad de la tecnología de la información	2	Interno
Apoyo de la alta dirección	2	Interno
Bloqueo de proveedores	2	Externo
Soporte	3	Ambos
Actitud hacia el cambio	2	Interno
Coste total de propiedad	3	Interno
